Technology,Age,CustomerSince,SupportCallsLastYear,AverageBill,ChurnIndicator,churn_label
phone,79,1/3/12 9:27 AM,3,15,0.133,0
phone,42,5/31/11 9:27 AM,0,82,0.007,0
4G,66,6/29/12 9:27 AM,1,79,0.017,0
4G,23,9/26/13 9:27 AM,0,85,0.005,0
fiber,17,1/17/11 9:27 AM,0,73,0.017,0
4G,26,7/27/13 9:27 AM,4,27,0.084,0
phone,40,8/9/11 9:27 AM,5,86,0.038,0
fiber,16,7/21/13 9:27 AM,2,108,0.017,0
landline,60,6/9/15 9:27 AM,0,45,0.001,0
landline,44,8/5/13 9:27 AM,0,35,0.004,0
phone,76,12/12/12 9:27 AM,0,12,0.032,0
phone,36,1/3/11 9:27 AM,2,55,0.034,0
fiber,56,10/27/15 10:27 AM,2,89,0.001,0
4G,59,9/22/12 9:27 AM,9,104,0.059,0
phone,37,7/13/15 9:27 AM,2,18,0.009,0
4G,7,10/10/13 9:27 AM,0,36,0.011,0
phone,74,2/8/11 9:27 AM,3,23,0.106,0
phone,70,8/19/11 9:27 AM,3,98,0.022,0
phone,55,10/14/12 9:27 AM,0,11,0.036,0
phone,66,12/13/12 9:27 AM,1,22,0.034,0
landline,39,9/16/14 9:27 AM,0,32,0.002,0
phone,37,2/21/14 9:27 AM,1,38,0.012,0
4G,55,5/22/11 9:27 AM,2,109,0.024,0
phone,68,2/12/13 9:27 AM,1,39,0.018,0
4G,64,11/26/12 9:27 AM,7,32,0.144,0
phone,37,10/3/10 9:27 AM,0,102,0.006,0
phone,66,1/3/14 9:27 AM,0,101,0.002,0
4G,21,2/20/12 9:27 AM,0,52,0.014,0
landline,12,12/7/15 9:27 AM,2,33,0,0
4G,3,9/3/13 9:27 AM,2,20,0.065,0
fiber,20,11/21/11 9:27 AM,1,93,0.022,0
4G,55,11/23/13 9:27 AM,0,24,0.016,0
landline,75,1/21/14 9:27 AM,1,22,0.011,0
fiber,26,12/11/13 9:27 AM,0,108,0.005,0
fiber,67,12/7/14 9:27 AM,1,71,0.007,0
phone,2,10/24/13 9:27 AM,2,87,0.009,0
4G,52,10/18/12 9:27 AM,0,25,0.024,0
phone,35,4/20/11 9:27 AM,8,44,0.12,0
landline,66,9/25/11 9:27 AM,2,42,0.019,0
phone,4,10/30/12 10:27 AM,0,92,0.004,0
phone,5,9/21/10 9:27 AM,0,101,0.007,0
4G,25,12/20/14 9:27 AM,0,67,0.003,0
landline,43,3/24/14 10:27 AM,1,87,0.003,0
4G,58,4/7/14 9:27 AM,1,34,0.019,0
phone,45,9/16/14 9:27 AM,2,16,0.029,0
fiber,25,6/1/11 9:27 AM,1,84,0.027,0
fiber,29,9/8/15 9:27 AM,5,107,0.004,0
4G,28,11/13/11 9:27 AM,0,36,0.021,0
phone,1,8/26/14 9:27 AM,8,30,0.049,0
landline,24,4/12/13 9:27 AM,0,65,0.003,0
phone,37,3/19/14 10:27 AM,7,12,0.146,0
landline,38,4/15/11 9:27 AM,0,47,0.006,0
landline,57,1/20/12 9:27 AM,1,18,0.027,0
fiber,32,11/27/10 9:27 AM,0,47,0.027,0
4G,7,4/2/11 9:27 AM,0,86,0.01,0
fiber,62,2/19/15 9:27 AM,1,108,0.004,0
4G,3,11/26/13 9:27 AM,0,73,0.005,0
landline,76,12/31/10 9:27 AM,2,100,0.009,0
phone,41,11/20/10 9:27 AM,0,39,0.016,0
phone,68,8/15/10 9:27 AM,1,42,0.032,0
phone,56,2/25/11 9:27 AM,4,59,0.051,0
fiber,64,11/22/13 9:27 AM,1,75,0.014,0
fiber,71,3/29/12 9:27 AM,0,36,0.026,0
phone,32,12/6/10 9:27 AM,1,81,0.016,0
phone,30,6/25/14 9:27 AM,0,66,0.003,0
phone,54,1/3/11 9:27 AM,1,18,0.069,0
phone,20,6/8/11 9:27 AM,0,106,0.005,0
4G,48,12/21/12 9:27 AM,3,38,0.059,0
phone,21,5/27/11 9:27 AM,0,97,0.006,0
4G,44,2/16/12 9:27 AM,6,21,0.241,0
4G,79,7/21/13 9:27 AM,0,40,0.011,0
4G,12,11/18/12 9:27 AM,3,46,0.051,0
fiber,5,2/1/15 9:27 AM,2,27,0.024,0
phone,42,12/12/11 9:27 AM,2,106,0.014,0
phone,58,8/19/14 9:27 AM,1,65,0.005,0
fiber,2,12/2/13 9:27 AM,0,22,0.023,0
phone,40,4/11/14 9:27 AM,1,11,0.038,0
fiber,45,12/31/10 9:27 AM,0,28,0.045,0
phone,55,7/15/13 9:27 AM,0,56,0.005,0
landline,19,1/25/14 9:27 AM,0,13,0.009,0
phone,9,4/6/12 9:27 AM,8,99,0.042,0
phone,78,12/27/10 9:27 AM,5,37,0.102,0
landline,71,1/22/14 9:27 AM,6,19,0.044,0
fiber,37,12/7/14 9:27 AM,4,94,0.014,0
phone,38,9/25/15 9:27 AM,1,51,0.001,0
landline,70,7/14/15 9:27 AM,1,91,0.001,0
phone,40,9/17/12 9:27 AM,1,41,0.02,0
4G,10,1/29/13 9:27 AM,3,17,0.128,0
4G,50,5/12/11 9:27 AM,0,105,0.008,0
fiber,76,11/10/12 9:27 AM,0,79,0.01,0
landline,64,7/24/11 9:27 AM,0,45,0.006,0
4G,38,12/12/14 9:27 AM,7,15,0.101,0
4G,40,3/9/14 10:27 AM,1,56,0.012,0
phone,69,3/22/15 10:27 AM,2,71,0.004,0
landline,71,2/7/11 9:27 AM,1,24,0.026,0
fiber,6,5/18/12 9:27 AM,2,53,0.051,0
fiber,50,11/16/11 9:27 AM,5,64,0.096,0
fiber,52,12/17/14 9:27 AM,3,54,0.019,0
landline,29,7/17/10 9:27 AM,1,74,0.009,0
phone,37,10/6/10 9:27 AM,5,75,0.052,0
4G,34,9/1/15 9:27 AM,0,76,0.001,0
4G,55,10/2/10 9:27 AM,0,91,0.011,0
phone,50,3/12/14 10:27 AM,2,50,0.013,0
phone,72,10/22/13 9:27 AM,3,68,0.016,0
fiber,33,1/21/11 9:27 AM,0,91,0.014,0
landline,59,7/23/13 9:27 AM,8,83,0.016,0
phone,16,2/7/12 9:27 AM,0,88,0.006,0
landline,72,5/1/11 9:27 AM,5,72,0.024,0
4G,44,12/3/10 9:27 AM,2,69,0.041,0
phone,35,10/4/14 9:27 AM,2,54,0.008,0
4G,15,4/23/12 9:27 AM,0,41,0.017,0
landline,40,11/4/12 9:27 AM,5,104,0.011,0
phone,79,7/10/13 9:27 AM,8,78,0.035,0
landline,10,8/12/14 9:27 AM,4,55,0.008,0
fiber,64,9/14/13 9:27 AM,3,60,0.038,0
4G,38,10/12/14 9:27 AM,1,32,0.014,0
landline,79,10/1/12 9:27 AM,3,43,0.019,0
phone,27,1/29/12 9:27 AM,1,33,0.03,0
fiber,4,11/20/11 9:27 AM,2,42,0.073,0
landline,19,10/1/13 9:27 AM,3,72,0.008,0
4G,53,5/3/11 9:27 AM,2,33,0.079,0
4G,51,10/28/14 10:27 AM,0,25,0.009,0
phone,19,4/2/14 9:27 AM,2,49,0.013,0
phone,57,10/2/10 9:27 AM,1,41,0.032,0
phone,49,9/5/10 9:27 AM,0,72,0.009,0
phone,26,7/23/11 9:27 AM,3,38,0.058,0
fiber,36,12/11/14 9:27 AM,4,35,0.036,0
phone,23,3/16/15 10:27 AM,0,82,0.001,0
phone,77,8/31/12 9:27 AM,7,22,0.151,0
phone,63,11/4/15 9:27 AM,3,94,0.001,0
4G,4,7/27/11 9:27 AM,0,20,0.041,0
landline,73,6/3/14 9:27 AM,0,65,0.001,0
phone,0,8/26/10 9:27 AM,9,101,0.066,0
fiber,56,5/16/13 9:27 AM,6,65,0.07,0
phone,23,7/29/11 9:27 AM,3,52,0.043,0
fiber,35,3/10/13 10:27 AM,9,77,0.091,0
landline,37,1/13/15 9:27 AM,6,43,0.009,0
fiber,63,8/5/12 9:27 AM,0,66,0.013,0
4G,79,4/15/15 9:27 AM,0,59,0.002,0
landline,42,4/8/11 9:27 AM,1,60,0.01,0
4G,74,1/19/14 9:27 AM,5,30,0.072,0
4G,49,8/13/15 9:27 AM,4,71,0.004,0
4G,2,11/27/15 9:27 AM,2,21,0.001,0
4G,5,10/15/11 9:27 AM,0,39,0.02,0
landline,7,12/7/14 9:27 AM,1,25,0.005,0
landline,51,11/26/15 9:27 AM,1,59,0,0
4G,62,8/20/14 9:27 AM,0,89,0.003,0
landline,17,5/31/13 9:27 AM,6,25,0.045,0
4G,15,6/15/13 9:27 AM,3,33,0.057,0
4G,68,11/16/12 9:27 AM,0,41,0.014,0
4G,66,6/23/10 9:27 AM,0,14,0.074,0
4G,22,9/30/14 9:27 AM,0,59,0.004,0
4G,18,10/31/12 10:27 AM,0,30,0.02,0
4G,41,10/27/14 10:27 AM,0,14,0.015,0
4G,6,6/22/14 9:27 AM,0,25,0.011,0
phone,22,10/12/10 9:27 AM,3,26,0.1,0
4G,14,6/12/15 9:27 AM,1,47,0.004,0
phone,59,9/15/14 9:27 AM,0,23,0.007,0
4G,28,12/12/12 9:27 AM,2,94,0.018,0
fiber,20,2/8/13 9:27 AM,8,106,0.061,0
4G,26,12/22/14 9:27 AM,0,108,0.002,0
fiber,11,9/24/12 9:27 AM,1,54,0.03,0
landline,31,8/11/10 9:27 AM,1,13,0.052,0
phone,18,2/1/15 9:27 AM,9,109,0.01,0
landline,12,11/3/11 10:27 AM,3,49,0.021,0
4G,47,1/17/12 9:27 AM,0,71,0.01,0
phone,65,4/20/12 9:27 AM,0,64,0.007,0
landline,45,8/24/15 9:27 AM,2,21,0.003,0
4G,13,8/17/15 9:27 AM,0,19,0.003,0
fiber,56,7/9/12 9:27 AM,0,53,0.016,0
landline,35,12/29/14 9:27 AM,4,38,0.008,0
phone,44,7/26/15 9:27 AM,2,79,0.002,0
fiber,12,12/16/10 9:27 AM,2,102,0.037,0
phone,58,5/9/15 9:27 AM,9,108,0.007,0
fiber,29,3/2/13 9:27 AM,1,92,0.015,0
landline,65,4/16/14 9:27 AM,3,23,0.018,0
phone,66,3/19/13 10:27 AM,0,39,0.009,0
4G,45,12/21/10 9:27 AM,1,43,0.044,0
landline,30,7/24/15 9:27 AM,0,11,0.002,0
landline,7,5/2/14 9:27 AM,0,98,0.001,0
phone,18,9/12/14 9:27 AM,0,37,0.004,0
fiber,6,2/3/13 9:27 AM,0,94,0.008,0
fiber,63,10/12/14 9:27 AM,2,33,0.027,0
4G,62,8/7/10 9:27 AM,2,13,0.234,0
landline,79,11/21/13 9:27 AM,0,101,0.001,0
4G,69,10/28/11 9:27 AM,0,62,0.013,0
phone,66,5/19/11 9:27 AM,0,50,0.012,0
fiber,44,3/27/12 9:27 AM,0,54,0.017,0
4G,19,12/21/11 9:27 AM,1,91,0.017,0
phone,75,6/2/15 9:27 AM,4,72,0.005,0
4G,12,8/14/12 9:27 AM,1,92,0.014,0
phone,22,8/19/14 9:27 AM,1,98,0.003,0
phone,20,12/23/12 9:27 AM,7,43,0.07,0
phone,44,11/24/10 9:27 AM,0,108,0.006,0
phone,45,8/26/10 9:27 AM,0,30,0.022,0
phone,78,11/17/11 9:27 AM,3,83,0.025,0
phone,34,11/24/13 9:27 AM,0,44,0.006,0
4G,22,6/28/12 9:27 AM,5,23,0.171,0
phone,68,10/24/10 9:27 AM,2,100,0.019,0
phone,6,8/25/13 9:27 AM,3,93,0.013,0
4G,35,8/20/14 9:27 AM,1,66,0.008,0
fiber,57,9/21/14 9:27 AM,1,71,0.009,0
landline,34,6/28/14 9:27 AM,8,64,0.013,0
4G,23,5/25/15 9:27 AM,1,52,0.004,0
4G,41,6/2/12 9:27 AM,1,101,0.013,0
phone,66,2/2/15 9:27 AM,0,59,0.002,0
phone,25,7/21/15 9:27 AM,1,79,0.001,0
4G,51,11/11/10 9:27 AM,4,43,0.112,0
fiber,14,9/18/11 9:27 AM,1,19,0.113,0
phone,12,12/7/15 9:27 AM,3,54,0,0
landline,57,8/12/13 9:27 AM,2,33,0.013,0
4G,21,3/28/15 10:27 AM,1,40,0.007,0
landline,13,11/19/10 9:27 AM,2,20,0.048,0
landline,52,1/26/15 9:27 AM,5,15,0.022,0
fiber,78,5/24/11 9:27 AM,0,43,0.027,0
phone,50,12/17/13 9:27 AM,0,101,0.002,0
phone,15,10/29/10 9:27 AM,7,71,0.073,0
phone,37,7/24/11 9:27 AM,6,94,0.041,0
4G,9,9/24/12 9:27 AM,0,87,0.007,0
phone,31,1/12/13 9:27 AM,2,74,0.015,0
fiber,60,1/23/11 9:27 AM,1,90,0.027,0
phone,11,3/30/14 9:27 AM,2,45,0.014,0
phone,58,10/20/13 9:27 AM,1,41,0.013,0
fiber,36,8/24/10 9:27 AM,2,42,0.096,0
landline,7,11/22/10 9:27 AM,7,23,0.111,0
4G,13,2/12/12 9:27 AM,1,48,0.03,0
4G,4,11/22/13 9:27 AM,5,79,0.03,0
fiber,53,9/28/12 9:27 AM,1,94,0.017,0
4G,11,10/4/14 9:27 AM,0,92,0.002,0
phone,40,3/20/11 10:27 AM,0,15,0.04,0
fiber,54,12/9/10 9:27 AM,0,46,0.028,0
landline,18,10/8/10 9:27 AM,0,87,0.004,0
phone,47,12/13/11 9:27 AM,3,91,0.022,0
4G,50,4/19/15 9:27 AM,1,15,0.017,0
4G,69,8/15/14 9:27 AM,2,101,0.007,0
fiber,10,1/4/15 9:27 AM,1,77,0.006,0
4G,61,10/28/14 10:27 AM,3,13,0.066,0
4G,13,5/6/15 9:27 AM,2,57,0.006,0
fiber,76,4/14/11 9:27 AM,0,48,0.025,0
4G,65,5/9/14 9:27 AM,1,99,0.006,0
4G,37,7/18/14 9:27 AM,0,47,0.006,0
4G,72,6/13/15 9:27 AM,0,99,0.001,0
fiber,16,2/27/15 9:27 AM,0,45,0.004,0
phone,62,11/28/10 9:27 AM,0,24,0.027,0
fiber,79,8/9/14 9:27 AM,1,96,0.007,0
phone,56,12/30/12 9:27 AM,0,23,0.016,0
phone,72,9/30/12 9:27 AM,2,103,0.012,0
fiber,11,3/13/15 10:27 AM,3,40,0.019,0
4G,55,7/19/12 9:27 AM,0,101,0.006,0
fiber,44,6/2/14 9:27 AM,2,39,0.03,0
landline,62,2/23/11 9:27 AM,3,95,0.013,0
4G,10,9/7/15 9:27 AM,0,97,0.001,0
phone,74,12/28/14 9:27 AM,3,34,0.014,0
4G,29,9/16/12 9:27 AM,0,50,0.012,0
4G,80,2/23/14 9:27 AM,5,46,0.045,0
landline,49,8/4/11 9:27 AM,1,19,0.029,0
4G,35,8/22/13 9:27 AM,0,67,0.007,0
4G,16,7/16/14 9:27 AM,0,59,0.005,0
fiber,79,9/5/12 9:27 AM,1,33,0.05,0
phone,42,1/1/12 9:27 AM,3,66,0.03,0
4G,1,11/24/10 9:27 AM,0,44,0.022,0
fiber,79,1/26/15 9:27 AM,6,36,0.043,0
phone,20,4/11/13 9:27 AM,0,74,0.005,0
landline,37,9/9/10 9:27 AM,2,75,0.013,0
fiber,11,12/7/10 9:27 AM,0,42,0.03,0
phone,32,6/12/11 9:27 AM,2,104,0.016,0
fiber,27,1/6/14 9:27 AM,1,12,0.081,0
fiber,14,10/27/15 10:27 AM,7,89,0.003,0
4G,75,9/1/15 9:27 AM,1,94,0.001,0
phone,11,9/21/14 9:27 AM,0,76,0.002,0
phone,64,3/23/11 10:27 AM,0,42,0.014,0
fiber,42,9/3/11 9:27 AM,8,62,0.157,0
phone,41,10/31/13 10:27 AM,0,93,0.003,0
phone,79,12/15/13 9:27 AM,3,87,0.012,0
fiber,49,5/8/12 9:27 AM,5,21,0.26,0
fiber,8,2/27/11 9:27 AM,0,53,0.023,0
4G,65,9/1/15 9:27 AM,0,50,0.001,0
phone,53,7/6/14 9:27 AM,2,14,0.039,0
phone,24,9/5/13 9:27 AM,0,50,0.006,0
phone,35,10/16/11 9:27 AM,0,29,0.018,0
landline,32,2/23/15 9:27 AM,0,23,0.002,0
4G,80,12/7/12 9:27 AM,1,53,0.022,0
4G,14,9/13/13 9:27 AM,8,63,0.061,0
4G,69,6/4/13 9:27 AM,0,32,0.015,0
phone,58,3/2/13 9:27 AM,1,71,0.01,0
4G,78,1/18/14 9:27 AM,0,107,0.003,0
4G,77,4/4/13 9:27 AM,0,103,0.005,0
4G,38,3/24/12 10:27 AM,5,33,0.128,0
4G,71,9/20/10 9:27 AM,0,80,0.012,0
landline,77,3/27/11 9:27 AM,0,18,0.017,0
landline,66,12/15/11 9:27 AM,1,100,0.005,0
4G,56,10/28/15 10:27 AM,4,51,0.002,0
phone,76,3/15/13 10:27 AM,1,81,0.009,0
4G,71,8/26/15 9:27 AM,0,16,0.004,0
4G,41,2/8/12 9:27 AM,2,63,0.035,0
phone,39,10/24/15 9:27 AM,0,103,0,0
4G,64,7/6/11 9:27 AM,0,104,0.008,0
fiber,78,12/24/11 9:27 AM,0,65,0.015,0
4G,11,5/13/13 9:27 AM,1,52,0.019,0
4G,16,7/3/15 9:27 AM,5,56,0.009,0
4G,50,4/6/11 9:27 AM,1,82,0.022,0
4G,47,9/18/12 9:27 AM,1,53,0.023,0
fiber,30,3/31/11 9:27 AM,0,43,0.028,0
phone,54,9/10/12 9:27 AM,1,52,0.016,0
4G,70,12/15/13 9:27 AM,9,48,0.079,0
phone,73,5/2/14 9:27 AM,1,96,0.004,0
4G,27,2/13/13 9:27 AM,0,50,0.011,0
landline,68,8/1/13 9:27 AM,1,34,0.009,0
phone,33,6/7/15 9:27 AM,0,84,0.001,0
fiber,25,9/11/11 9:27 AM,0,66,0.016,0
landline,79,4/15/12 9:27 AM,1,99,0.005,0
fiber,8,6/26/14 9:27 AM,0,17,0.022,0
4G,73,6/24/13 9:27 AM,0,109,0.004,0
fiber,66,4/21/15 9:27 AM,1,61,0.005,0
phone,67,6/8/15 9:27 AM,0,69,0.001,0
phone,5,4/14/13 9:27 AM,2,33,0.031,0
fiber,55,9/26/14 9:27 AM,2,87,0.011,0
fiber,49,8/17/11 9:27 AM,8,32,0.307,0
phone,72,6/9/15 9:27 AM,6,27,0.017,0
4G,12,3/20/15 10:27 AM,1,51,0.005,0
fiber,71,5/30/13 9:27 AM,4,54,0.059,0
fiber,10,9/10/14 9:27 AM,0,23,0.014,0
phone,21,12/23/11 9:27 AM,0,110,0.005,0
landline,40,7/27/11 9:27 AM,5,60,0.028,0
4G,18,2/27/12 9:27 AM,0,23,0.031,0
fiber,33,8/7/11 9:27 AM,2,89,0.037,0
phone,77,11/14/12 9:27 AM,2,65,0.018,0
phone,37,7/18/13 9:27 AM,1,17,0.036,0
phone,62,11/9/12 9:27 AM,0,30,0.013,0
4G,27,7/31/13 9:27 AM,0,43,0.01,0
4G,38,11/16/12 9:27 AM,0,93,0.006,0
4G,60,3/24/11 10:27 AM,0,89,0.01,0
4G,25,12/22/14 9:27 AM,6,38,0.034,0
4G,18,2/14/11 9:27 AM,0,36,0.025,0
phone,6,6/21/13 9:27 AM,4,61,0.026,0
4G,78,9/4/15 9:27 AM,0,51,0.001,0
4G,39,8/4/10 9:27 AM,0,84,0.012,0
landline,32,8/19/11 9:27 AM,0,61,0.004,0
4G,71,12/25/14 9:27 AM,1,83,0.004,0
landline,56,4/22/13 9:27 AM,2,77,0.007,0
fiber,70,12/14/15 9:27 AM,5,95,0,0
phone,6,11/15/10 9:27 AM,1,70,0.018,0
4G,9,1/23/13 9:27 AM,1,57,0.019,0
phone,1,9/13/13 9:27 AM,0,88,0.003,0
4G,32,5/7/11 9:27 AM,0,55,0.016,0
phone,68,9/29/12 9:27 AM,0,32,0.013,0
fiber,19,4/8/15 9:27 AM,0,64,0.003,0
4G,19,12/28/13 9:27 AM,2,80,0.014,0
phone,76,2/12/14 9:27 AM,0,13,0.018,0
landline,21,4/29/14 9:27 AM,8,48,0.019,0
4G,70,8/21/14 9:27 AM,7,101,0.02,0
4G,64,12/29/14 9:27 AM,0,75,0.002,0
4G,3,1/4/14 9:27 AM,0,87,0.004,0
landline,20,4/17/14 9:27 AM,1,48,0.004,0
phone,29,8/3/11 9:27 AM,0,31,0.018,0
4G,4,5/31/12 9:27 AM,9,30,0.223,0
4G,63,11/7/12 9:27 AM,0,66,0.009,0
fiber,68,2/7/13 9:27 AM,1,90,0.016,0
4G,39,6/6/15 9:27 AM,3,80,0.005,0
4G,45,7/2/10 9:27 AM,8,19,0.489,0
4G,16,9/1/14 9:27 AM,2,88,0.008,0
fiber,71,1/17/14 9:27 AM,0,30,0.016,0
phone,71,10/31/13 10:27 AM,1,67,0.008,0
fiber,47,6/18/12 9:27 AM,3,89,0.04,0
4G,11,11/10/13 9:27 AM,3,16,0.099,0
landline,31,2/13/14 9:27 AM,0,59,0.002,0
phone,28,4/11/13 9:27 AM,3,45,0.03,0
phone,20,2/1/15 9:27 AM,7,31,0.028,0
4G,36,3/20/12 10:27 AM,1,35,0.04,0
4G,44,10/19/12 9:27 AM,5,85,0.042,0
4G,60,11/7/15 9:27 AM,2,15,0.004,0
4G,54,4/27/11 9:27 AM,3,12,0.292,0
landline,53,3/24/13 10:27 AM,8,70,0.022,0
4G,47,11/1/11 10:27 AM,1,85,0.018,0
phone,42,3/2/12 9:27 AM,0,68,0.007,0
4G,43,10/21/15 9:27 AM,1,76,0.001,0
4G,56,11/29/13 9:27 AM,0,96,0.004,0
4G,55,3/27/11 9:27 AM,1,73,0.024,0
4G,75,2/24/14 9:27 AM,1,81,0.008,0
landline,6,5/6/15 9:27 AM,7,85,0.004,0
fiber,46,6/2/15 9:27 AM,0,50,0.003,0
phone,52,10/21/15 9:27 AM,4,26,0.004,0
fiber,40,12/1/10 9:27 AM,0,48,0.026,0
phone,45,3/2/13 9:27 AM,5,35,0.06,0
phone,39,10/29/14 10:27 AM,0,25,0.006,0
4G,43,7/10/14 9:27 AM,7,15,0.144,0
4G,79,8/7/15 9:27 AM,0,12,0.006,0
fiber,10,1/9/13 9:27 AM,1,101,0.015,0
phone,70,11/14/13 9:27 AM,0,41,0.006,0
phone,51,3/16/12 10:27 AM,2,73,0.019,0
4G,31,5/4/12 9:27 AM,2,61,0.034,0
4G,54,7/23/10 9:27 AM,1,34,0.06,0
phone,1,8/19/11 9:27 AM,7,41,0.106,0
phone,1,3/13/13 10:27 AM,2,26,0.04,0
4G,2,4/19/13 9:27 AM,1,41,0.025,0
4G,31,1/31/14 9:27 AM,1,108,0.007,0
4G,56,7/21/11 9:27 AM,2,54,0.046,0
landline,6,7/5/10 9:27 AM,10,41,0.092,0
landline,78,4/25/12 9:27 AM,0,18,0.013,0
4G,3,7/31/13 9:27 AM,1,109,0.008,0
4G,11,12/12/10 9:27 AM,2,103,0.028,0
4G,16,4/9/11 9:27 AM,3,84,0.042,0
phone,25,7/1/12 9:27 AM,0,88,0.005,0
phone,48,7/14/10 9:27 AM,7,43,0.127,0
fiber,61,1/4/11 9:27 AM,0,107,0.012,0
phone,38,12/27/12 9:27 AM,0,16,0.023,0
phone,42,3/26/14 10:27 AM,5,80,0.016,0
4G,69,4/4/12 9:27 AM,1,103,0.014,0
phone,63,3/31/13 9:27 AM,2,46,0.022,0
phone,76,7/17/12 9:27 AM,3,51,0.034,0
fiber,71,10/26/11 9:27 AM,2,68,0.046,0
phone,53,4/16/15 9:27 AM,2,16,0.016,0
fiber,4,8/23/11 9:27 AM,1,25,0.087,0
phone,65,9/1/11 9:27 AM,0,39,0.014,0
landline,75,7/19/14 9:27 AM,0,34,0.003,0
phone,63,8/8/10 9:27 AM,7,109,0.05,0
4G,50,1/16/12 9:27 AM,1,35,0.042,0
phone,72,7/31/11 9:27 AM,3,98,0.023,0
landline,35,5/29/13 9:27 AM,1,44,0.007,0
phone,21,1/4/15 9:27 AM,2,30,0.012,0
fiber,72,3/4/12 9:27 AM,2,104,0.028,0
phone,70,12/2/11 9:27 AM,0,48,0.011,0
4G,53,3/15/13 10:27 AM,0,51,0.01,0
fiber,36,6/22/13 9:27 AM,1,19,0.066,0
landline,69,11/23/13 9:27 AM,0,46,0.003,0
phone,72,6/8/12 9:27 AM,4,24,0.092,0
4G,44,11/24/13 9:27 AM,0,11,0.035,0
phone,44,12/4/11 9:27 AM,0,46,0.011,0
4G,25,1/4/15 9:27 AM,2,90,0.006,0
landline,10,11/10/14 9:27 AM,2,11,0.019,0
4G,62,10/1/13 9:27 AM,0,45,0.009,0
4G,27,8/29/10 9:27 AM,3,33,0.121,0
4G,37,3/23/12 10:27 AM,4,94,0.038,0
landline,48,11/18/14 9:27 AM,0,50,0.001,0
phone,20,2/11/14 9:27 AM,1,17,0.027,0
phone,66,11/30/15 9:27 AM,5,15,0.002,0
phone,21,4/25/11 9:27 AM,0,68,0.009,0
landline,37,3/21/15 10:27 AM,2,24,0.006,0
fiber,62,11/29/14 9:27 AM,10,40,0.072,0
4G,52,2/27/13 9:27 AM,2,37,0.043,0
phone,27,11/8/10 9:27 AM,1,63,0.02,0
phone,54,11/11/15 9:27 AM,0,34,0,0
fiber,5,2/19/13 9:27 AM,1,51,0.028,0
landline,5,1/31/11 9:27 AM,3,54,0.023,0
4G,9,11/2/11 10:27 AM,1,72,0.022,0
fiber,1,4/6/15 9:27 AM,2,57,0.009,0
phone,9,12/5/15 9:27 AM,4,93,0,0
4G,35,8/2/14 9:27 AM,1,64,0.008,0
landline,6,1/14/11 9:27 AM,8,100,0.028,0
4G,13,6/6/12 9:27 AM,0,52,0.013,0
landline,27,1/6/11 9:27 AM,4,55,0.028,0
fiber,9,9/12/12 9:27 AM,5,26,0.19,0
4G,41,2/9/12 9:27 AM,0,41,0.018,0
phone,76,9/12/15 9:27 AM,1,55,0.001,0
4G,52,10/28/12 10:27 AM,9,31,0.191,0
landline,40,2/13/12 9:27 AM,1,81,0.006,0
4G,34,5/24/11 9:27 AM,0,80,0.011,0
4G,52,11/24/12 9:27 AM,9,15,0.385,0
landline,35,10/12/15 9:27 AM,0,26,0,0
phone,39,6/19/11 9:27 AM,0,60,0.009,0
phone,33,6/8/14 9:27 AM,8,103,0.017,0
phone,59,3/1/14 9:27 AM,8,53,0.038,0
4G,36,8/15/10 9:27 AM,4,15,0.336,0
phone,60,11/23/11 9:27 AM,0,85,0.006,0
4G,43,11/27/13 9:27 AM,0,72,0.005,0
landline,24,4/1/12 9:27 AM,9,37,0.063,0
phone,77,8/22/10 9:27 AM,4,44,0.076,0
phone,13,5/12/11 9:27 AM,4,16,0.181,0
fiber,1,7/5/14 9:27 AM,3,50,0.029,0
landline,47,5/10/13 9:27 AM,1,51,0.006,0
landline,36,12/6/14 9:27 AM,0,12,0.005,0
landline,70,8/25/13 9:27 AM,1,90,0.003,0
phone,52,6/10/11 9:27 AM,6,33,0.121,0
4G,6,7/15/12 9:27 AM,1,69,0.019,0
4G,21,3/10/11 9:27 AM,2,14,0.193,0
phone,6,7/12/15 9:27 AM,0,71,0.001,0
fiber,63,2/7/12 9:27 AM,0,34,0.029,0
phone,67,11/21/11 9:27 AM,0,50,0.01,0
phone,20,5/5/14 9:27 AM,0,71,0.003,0
phone,64,10/7/11 9:27 AM,0,31,0.017,0
fiber,69,12/21/12 9:27 AM,2,36,0.063,0
phone,49,3/5/14 9:27 AM,0,62,0.004,0
phone,67,5/21/12 9:27 AM,0,19,0.024,0
landline,1,11/15/15 9:27 AM,2,110,0,0
4G,0,2/16/11 9:27 AM,0,108,0.008,0
landline,36,7/7/15 9:27 AM,0,54,0.001,0
fiber,62,10/22/12 9:27 AM,2,108,0.022,0
phone,80,9/18/15 9:27 AM,1,33,0.002,0
4G,73,6/26/13 9:27 AM,10,95,0.054,0
4G,44,4/15/12 9:27 AM,1,24,0.058,0
landline,29,9/10/12 9:27 AM,0,33,0.006,0
4G,73,4/8/13 9:27 AM,1,12,0.085,0
4G,15,1/31/11 9:27 AM,2,84,0.033,0
4G,16,9/19/11 9:27 AM,3,85,0.038,0
phone,53,3/11/11 9:27 AM,8,53,0.102,0
